parcel,leased
412215300001.00000000,1
412216100005.00000000,1
412216100006.00000000,1
412216200002.00000000,1
412216200015.00000000,1
412216400031.00000000,1
412217100037.00000000,1
412217100047.00000000,1
412217200048.00000000,1
412217226006.00000000,1
412220300004.00000000,1
412220300022.00000000,1
412220400001.00000000,1
412221100012.00000000,1
412221300020.00000000,1
412221300025.00000000,1
412221300026.00000000,1
412221300032.00000000,1
412222200011.00000000,1
412222200033.00000000,1
412222300003.00000000,1
412222400010.00000000,1
412223100005.00000000,1
412223100005.00000000,1
412223100006.00000000,1
412223100006.00000000,1
412223100008.00000000,1
412224100016.00000000,1
412224100016.00000000,1
412224200021.00000000,1
412224200029.00000000,1
412224200036.00000000,1
412224200037.00000000,1
412224200038.00000000,1
412224200039.00000000,1
412224200040.00000000,1
412224300011.00000000,1
412224400015.00000000,1
412224400017.00000000,1
412224400019.00000000,1
412224400020.00000000,1
412224400021.00000000,1
412224400022.00000000,1
412225100002.00000000,1
412225100004.00000000,1
412225200002.00000000,1
412225200011.00000000,1
412225200015.00000000,1
412225200016.00000000,1
412225200019.00000000,1
412225200020.00000000,1
412225200021.00000000,1
412225300009.00000000,1
412225300009.00000000,1
412225300017.00000000,1
412225300017.00000000,1
412225300019.00000000,1
412226200026.00000000,1
412227126002.00000000,1
412227200031.00000000,1
412227300004.00000000,1
412227300007.00000000,1
412227400013.00000000,1
412228100026.00000000,1
412228300004.00000000,1
412228400010.00000000,1
412228400011.00000000,1
412229200036.00000000,1
412229200040.00000000,1
412233100022.00000000,1
412233200002.00000000,1
412233200005.00000000,1
412233200006.00000000,1
412233400002.00000000,1
412233400003.00000000,1
412234100021.00000000,1
412234100022.00000000,1
412235400014.00000000,1
412236100007.00000000,1
412236100007.00000000,1
412236200015.00000000,1
412236200019.00000000,1
412236200019.00000000,1
412236300021.00000000,1
412236400003.00000000,1
412236400011.00000000,1
412236400011.00000000,1
412313400019.00000000,1
412316302002.00000000,1
412316401001.00000000,1
412318101002.00000000,1
412318101011.00000000,1
412318127005.00000000,1
412318201004.00000000,1
412318226001.00000000,1
412318226002.00000000,1
412318300014.00000000,1
412318300041.00000000,1
412318401001.00000000,1
412318451001.00000000,1
412319100008.00000000,1
412319100009.00000000,1
412319100016.00000000,1
412319100017.00000000,1
412319100018.00000000,1
412319100019.00000000,1
412319200003.00000000,1
412319200005.00000000,1
412319200016.00000000,1
412319200017.00000000,1
412319200018.00000000,1
412319300021.00000000,1
412319300023.00000000,1
412319400004.00000000,1
412319400013.00000000,1
412319400016.00000000,1
412319400020.00000000,1
412319400023.00000000,1
412319400027.00000000,1
412319400033.00000000,1
412319400036.00000000,1
412319400036.00000000,1
412319400042.00000000,1
412319400043.00000000,1
412319400046.00000000,1
412319400054.00000000,1
412320100001.00000000,1
412320100012.00000000,1
412320100012.00000000,1
412320100015.00000000,1
412320100017.00000000,1
412320100018.00000000,1
412320100020.00000000,1
412320100021.00000000,1
412320100023.00000000,1
412320300005.00000000,1
412320300017.00000000,1
412320300025.00000000,1
412321300001.00000000,1
412321300002.00000000,1
412322300009.00000000,1
412323400014.00000000,1
412323400018.00000000,1
412324276009.00000000,1
412324300003.00000000,1
412324300004.00000000,1
412324300005.00000000,1
412324400003.00000000,1
412325100002.00000000,1
412325100003.00000000,1
412325300002.00000000,1
412325300003.00000000,1
412325400001.00000000,1
412326200003.00000000,1
412326200004.00000000,1
412326400013.00000000,1
412328100005.00000000,1
412328100006.00000000,1
412328300012.00000000,1
412328400001.00000000,1
412328400006.00000000,1
412328400007.00000000,1
412330100004.00000000,1
412330226001.00000000,1
412330300002.00000000,1
412330400017.00000000,1
412331100033.00000000,1
412331100033.00000000,1
412331201004.00000000,1
412331300037.00000000,1
412331300045.00000000,1
412332101004.00000000,1
412332400002.00000000,1
412332400007.00000000,1
412332400010.00000000,1
412333100004.00000000,1
412333200005.00000000,1
412333200006.00000000,1
412333200007.00000000,1
412333300002.00000000,1
412333300004.00000000,1
412333300004.00000000,1
412334100024.00000000,1
412334100025.00000000,1
412334100036.00000000,1
412334100037.00000000,1
412334100044.00000000,1
412334100045.00000000,1
412336100001.00000000,1
412402100001.00000000,1
412402100001.00000000,1
412402100002.00000000,1
412402100006.00000000,1
412402300004.00000000,1
412402300017.00000000,1
412402300028.00000000,1
412402400010.00000000,1
412402400011.00000000,1
412403100029.00000000,1
412403200001.00000000,1
412403200001.00000000,1
412403200003.00000000,1
412403200003.00000000,1
412403300006.00000000,1
412403400004.00000000,1
412403400023.00000000,1
412404300005.00000000,1
412404300005.00000000,1
412405400003.00000000,1
412405400008.00000000,1
412407100021.00000000,1
412407100052.00000000,1
412408300006.00000000,1
412408300007.00000000,1
412408300008.00000000,1
412408400006.00000000,1
412409100008.00000000,1
412409100008.00000000,1
412409100008.00000000,1
412409300021.00000000,1
412409400001.00000000,1
412409400015.00000000,1
412410100011.00000000,1
412410200010.00000000,1
412410200024.00000000,1
412410200025.00000000,1
412410300002.00000000,1
412410300008.00000000,1
412410400002.00000000,1
412410400005.00000000,1
412410400011.00000000,1
412411300002.00000000,1
412411300004.00000000,1
412412400009.00000000,1
412412400009.00000000,1
412412400010.00000000,1
412412400010.00000000,1
412413100004.00000000,1
412413200011.00000000,1
412413200012.00000000,1
412413300010.00000000,1
412413300012.00000000,1
412414100005.00000000,1
412414200001.00000000,1
412414200010.00000000,1
412414200011.00000000,1
412414300001.00000000,1
412414300010.00000000,1
412414400004.00000000,1
412414400004.00000000,1
412414400004.00000000,1
412415100003.00000000,1
412415100004.00000000,1
412415100005.00000000,1
412415200003.00000000,1
412415200004.00000000,1
412415400007.00000000,1
412416100015.00000000,1
412416100023.00000000,1
412416200012.00000000,1
412416400011.00000000,1
412417100001.00000000,1
412417100006.00000000,1
412417100007.00000000,1
412417200006.00000000,1
412417200008.00000000,1
412418100008.00000000,1
412418200010.00000000,1
412419200003.00000000,1
412419200004.00000000,1
412419200007.00000000,1
412419300002.00000000,1
412419400002.00000000,1
412420200001.00000000,1
412420200002.00000000,1
412420300001.00000000,1
412420400001.00000000,1
412421100010.00000000,1
412421300001.00000000,1
412421400005.00000000,1
412422200002.00000000,1
412422200006.00000000,1
412422200007.00000000,1
412422300003.00000000,1
412422300006.00000000,1
412422400005.00000000,1
412422400008.00000000,1
412423100002.00000000,1
412423100009.00000000,1
412423200016.00000000,1
412423200017.00000000,1
412423300008.00000000,1
412423300008.00000000,1
412423300014.00000000,1
412423300014.00000000,1
412424100036.00000000,1
412424200014.00000000,1
412424200014.00000000,1
412424200016.00000000,1
412424200016.00000000,1
412424300002.00000000,1
412424300003.00000000,1
412424400002.00000000,1
412424400002.00000000,1
412424400024.00000000,1
412424400024.00000000,1
412426200002.00000000,1
412426200003.00000000,1
412426200004.00000000,1
412426200005.00000000,1
412426300003.00000000,1
412426400001.00000000,1
412426400010.00000000,1
412427100009.00000000,1
412427200002.00000000,1
412427200010.00000000,1
412427200010.00000000,1
412427200011.00000000,1
412427200011.00000000,1
412427300001.00000000,1
412427300003.00000000,1
412427400005.00000000,1
412428100003.00000000,1
412428200001.00000000,1
412428200003.00000000,1
412428200006.00000000,1
